filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
0918666686.cr3,5970565655.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:28:57, jpeg DateTimeOriginal=2024-06-27 10:28:57"
6212214186.cr3,6404315403.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:35:04, jpeg DateTimeOriginal=2024-06-27 10:35:04"
1644619298.cr3,4716126219.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:43:12, jpeg DateTimeOriginal=2024-06-27 10:43:12"
9356458536.cr3,6220444978.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:48:11, jpeg DateTimeOriginal=2024-06-27 10:48:11"
7892873248.cr3,8963888825.jpg,Canon EOS R1,RF100-300mm F2.8 L IS USM,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:54:58, jpeg DateTimeOriginal=2024-06-27 10:54:58"
7428236299.cr3,9768230562.jpg,Canon EOS R1,RF100-300mm F2.8 L IS USM,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 10:56:28, jpeg DateTimeOriginal=2024-06-27 10:56:28"
7783637904.cr3,2888263511.jpg,Canon EOS R1,RF100-300mm F2.8 L IS USM,2000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 11:08:36, jpeg DateTimeOriginal=2024-06-27 11:08:36"
4006558591.cr3,2560995570.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 12:53:52, jpeg DateTimeOriginal=2024-06-27 12:53:52"
5153183176.cr3,1520178906.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 12:54:08, jpeg DateTimeOriginal=2024-06-27 12:54:08"
1247992610.cr3,8261186319.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 12:54:09, jpeg DateTimeOriginal=2024-06-27 12:54:09"
