filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
0580613730.raf,1778077762.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/0580613730.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
6176168150.raf,0578597801.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/6176168150.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
8548293381.raf,1513160714.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/8548293381.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
2766701437.raf,2940886710.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/2766701437.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
0896370210.raf,1773859048.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/0896370210.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
3107671942.raf,8702813792.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/3107671942.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
4064000393.raf,2340134015.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/4064000393.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
9610375653.raf,3356762806.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/9610375653.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
1971074947.raf,0160382086.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/1971074947.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
7428003447.raf,2912994472.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/7428003447.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
5752840668.raf,3536145055.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/5752840668.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
9387470801.raf,0082438666.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/9387470801.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
3911207809.raf,3185305961.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/3911207809.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
2382804738.raf,4641845773.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/2382804738.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
4705885809.raf,9604289990.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/4705885809.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
1341652587.raf,0047976989.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/1341652587.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
2535334114.raf,9506509328.jpg,GFX100RF,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7038056302/2535334114.raf,dpreview Fujifilm GFX100RF pre-production sample gallery (L-7038056302)
