filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
DSCF9304.RAF,DSCF9304.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:06, jpeg DateTimeOriginal=2021-01-01 00:00:06"
DSCF9302.RAF,DSCF9302.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:08, jpeg DateTimeOriginal=2021-01-01 00:00:08"
DSCF9303.RAF,DSCF9303.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:22, jpeg DateTimeOriginal=2021-01-01 00:00:22, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9411.RAF,DSCF9411.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:22, jpeg DateTimeOriginal=2021-01-01 00:00:22, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9334.RAF,DSCF9334.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:27, jpeg DateTimeOriginal=2021-01-01 00:00:27"
DSCF9311.RAF,DSCF9311.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:30, jpeg DateTimeOriginal=2021-01-01 00:00:30, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9412.RAF,DSCF9412.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:30, jpeg DateTimeOriginal=2021-01-01 00:00:30, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9335.RAF,DSCF9335.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:31, jpeg DateTimeOriginal=2021-01-01 00:00:31"
DSCF9312.RAF,DSCF9312.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:32, jpeg DateTimeOriginal=2021-01-01 00:00:32, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9336.RAF,DSCF9336.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:32, jpeg DateTimeOriginal=2021-01-01 00:00:32, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9313.RAF,DSCF9313.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:34, jpeg DateTimeOriginal=2021-01-01 00:00:34"
DSCF9317.RAF,DSCF9317.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:38, jpeg DateTimeOriginal=2021-01-01 00:00:38, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9332.RAF,DSCF9332.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:38, jpeg DateTimeOriginal=2021-01-01 00:00:38, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9307.RAF,DSCF9307.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:39, jpeg DateTimeOriginal=2021-01-01 00:00:39, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
DSCF9318.RAF,DSCF9318.JPG,GFX50S II,GF35-70mmF4.5-5.6 WR,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2021-01-01 00:00:39, jpeg DateTimeOriginal=2021-01-01 00:00:39, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
