raw_file,jpeg_file,model,film_mode
6777194137.raf,1888817482.jpg,GFX100RF,F0/Standard (Provia)
3985822969.raf,1961123816.jpg,GFX100RF,F0/Standard (Provia)
4279482947.raf,4026533433.jpg,GFX100RF,F0/Standard (Provia)
5610240261.raf,9828783846.jpg,GFX100RF,F0/Standard (Provia)
7211098598.raf,3746203445.jpg,GFX100RF,F0/Standard (Provia)
0386838955.raf,4719139413.jpg,GFX100RF,F0/Standard (Provia)
0938253216.raf,5113492093.jpg,GFX100RF,F0/Standard (Provia)
5971192130.raf,2268618039.jpg,GFX100RF,F0/Standard (Provia)
3229446129.raf,1926851526.jpg,GFX100RF,F0/Standard (Provia)
8145750367.raf,0902887282.jpg,GFX100RF,F0/Standard (Provia)
5607169147.raf,8079043383.jpg,GFX100RF,F0/Standard (Provia)
8222102528.raf,8610306467.jpg,GFX100RF,F0/Standard (Provia)
2014803228.raf,3168993251.jpg,GFX100RF,F0/Standard (Provia)
2730790002.raf,4335902621.jpg,GFX100RF,F0/Standard (Provia)
6906442335.raf,3151440920.jpg,GFX100RF,F0/Standard (Provia)
5063015034.raf,2742625071.jpg,GFX100RF,F0/Standard (Provia)
2700774739.raf,6390130780.jpg,GFX100RF,F0/Standard (Provia)
9298756246.raf,7507927684.jpg,GFX100RF,F0/Standard (Provia)
4169961381.raf,0112640517.jpg,GFX100RF,F0/Standard (Provia)
6864397062.raf,4318309486.jpg,GFX100RF,F0/Standard (Provia)
8757771996.raf,2082537070.jpg,GFX100RF,F0/Standard (Provia)
9576215319.raf,1370295331.jpg,GFX100RF,F0/Standard (Provia)
4346996762.raf,8684660442.jpg,GFX100RF,F0/Standard (Provia)
4789757876.raf,5575245172.jpg,GFX100RF,F0/Standard (Provia)
0350568616.raf,8990981863.jpg,GFX100RF,F0/Standard (Provia)
0615731681.raf,7156605825.jpg,GFX100RF,F0/Standard (Provia)
0543853168.raf,6191603012.jpg,GFX100RF,F0/Standard (Provia)
8767754589.raf,8875452317.jpg,GFX100RF,F0/Standard (Provia)
8892362001.raf,1048016221.jpg,GFX100RF,F0/Standard (Provia)
2801836557.raf,9127392377.jpg,GFX100RF,F0/Standard (Provia)
1798414989.raf,4252476513.jpg,GFX100RF,F0/Standard (Provia)
1072981790.raf,5238563388.jpg,GFX100RF,F0/Standard (Provia)
6619638413.raf,0227391419.jpg,GFX100RF,F0/Standard (Provia)
2879192604.raf,9026799884.jpg,GFX100RF,F0/Standard (Provia)
2305729318.raf,3788662784.jpg,GFX100RF,F0/Standard (Provia)
4347475827.raf,9355235512.jpg,GFX100RF,F0/Standard (Provia)
1904678724.raf,2238997986.jpg,GFX100RF,F0/Standard (Provia)
8691163839.raf,7726060795.jpg,GFX100RF,F0/Standard (Provia)
9679886292.raf,0816953859.jpg,X-T30 III,F0/Standard (Provia)
2055420337.raf,9195937409.jpg,X-T30 III,F0/Standard (Provia)
9033715374.raf,5991262277.jpg,X-T30 III,F0/Standard (Provia)
9515190456.raf,8077125383.jpg,X-T30 III,F0/Standard (Provia)
6652476286.raf,4419498724.jpg,X-T30 III,F0/Standard (Provia)
4641477439.raf,5838412045.jpg,X-T30 III,Pro Neg. Std
1729169749.raf,0493603666.jpg,X-T30 III,Pro Neg. Std
9796144052.raf,6818054943.jpg,X-T30 III,Pro Neg. Std
5561191634.raf,8436426743.jpg,X-T30 III,Pro Neg. Std
4903256876.raf,1909075405.jpg,X-T30 III,F0/Standard (Provia)
5450053114.raf,9870523765.jpg,X-T30 III,F0/Standard (Provia)
2577490970.raf,7833288108.jpg,X-T30 III,F0/Standard (Provia)
1025919768.raf,9644608964.jpg,X-T30 III,F0/Standard (Provia)
3029733728.raf,4705237599.jpg,X-T30 III,Reala ACE
6900607977.raf,8491096327.jpg,X-T30 III,F0/Standard (Provia)
4775524905.raf,8188917135.jpg,X-T30 III,F0/Standard (Provia)
7614858031.raf,6560034279.jpg,X-T30 III,F0/Standard (Provia)
5948230724.raf,9921556885.jpg,X-T30 III,F0/Standard (Provia)
6237517152.raf,9849343541.jpg,X-T30 III,F0/Standard (Provia)
1168170581.raf,2129074232.jpg,X-T30 III,F0/Standard (Provia)
6418710505.raf,5178858080.jpg,X-T30 III,F0/Standard (Provia)
5371012098.raf,4803402223.jpg,X-T30 III,Reala ACE
0600424005.raf,4814930099.jpg,X-T30 III,F0/Standard (Provia)
8246029163.raf,3033837879.jpg,X-T30 III,F1b/Studio Portrait Smooth Skin Tone (Astia)
9109656394.raf,0728537797.jpg,X-T30 III,F0/Standard (Provia)
4242285942.raf,5971099924.jpg,X-T30 III,F0/Standard (Provia)
6768774949.raf,2074634822.jpg,X-T30 III,F0/Standard (Provia)
