filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
6507810936.3fr,4870420459.jpg,Hasselblad X1D,unknown,100,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2017-03-30 03:27:14, raw/jpeg sync delta=0.0s"
0149725587.3fr,0898962364.jpg,X2D 100C,XCD 38V,1600,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-19 21:55:21, raw/jpeg sync delta=0.0s"
8204307982.3fr,6646042785.jpg,X2D 100C,XCD 30,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 01:32:34, raw/jpeg sync delta=0.0s"
3832345792.3fr,3454726730.jpg,X2D 100C,XCD 55V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 01:35:59, raw/jpeg sync delta=0.0s"
5537240075.3fr,0012477635.jpg,X2D 100C,XCD 55V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 01:37:37, raw/jpeg sync delta=0.0s"
0587181218.3fr,0253621487.jpg,X2D 100C,XCD 120,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:04:35, raw/jpeg sync delta=0.0s"
7971015535.3fr,2538000907.jpg,X2D 100C,XCD 120,64,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:13:27, raw/jpeg sync delta=0.0s"
6311094775.3fr,0411311604.jpg,X2D 100C,XCD 120,64,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:14:52, raw/jpeg sync delta=0.0s"
6787000086.3fr,2921126274.jpg,X2D 100C,XCD 55V,64,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:19:09, raw/jpeg sync delta=0.0s"
7826992126.3fr,1735498036.jpg,X2D 100C,XCD 55V,400,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:19:54, raw/jpeg sync delta=0.0s"
5533274085.3fr,5367364984.jpg,X2D 100C,XCD 55V,64,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:22:05, raw/jpeg sync delta=0.0s"
1094220000.3fr,7411457197.jpg,X2D 100C,XCD 55V,64,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:32:44, raw/jpeg sync delta=0.0s"
8082395282.3fr,8224727940.jpg,X2D 100C,XCD 55V,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:40:54, raw/jpeg sync delta=0.0s"
1932636179.3fr,6053674087.jpg,X2D 100C,XCD 55V,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:45:05, raw/jpeg sync delta=0.0s"
3953661245.3fr,2066214993.jpg,X2D 100C,XCD 30,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 03:48:04, raw/jpeg sync delta=0.0s"
8127122405.3fr,8283607695.jpg,X2D 100C,XCD 55V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 18:03:02, raw/jpeg sync delta=0.0s"
5746737497.3fr,3547299535.jpg,X2D 100C,XCD 120,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 18:31:15, raw/jpeg sync delta=0.0s"
9515423899.3fr,4307602937.jpg,X2D 100C,XCD 120,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 18:38:30, raw/jpeg sync delta=0.0s"
6454535758.3fr,8646870132.jpg,X2D 100C,XCD 120,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2022-09-20 18:44:01, raw/jpeg sync delta=0.0s"
