filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
9428557073.3fr,7701402040.jpg,X2D 100C,XCD 55V,64,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-2016968818/9428557073.3fr,dpreview X2D 100C 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5930928010.3fr,2006884476.jpg,X2D 100C,XCD 55V,64,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-2016968818/5930928010.3fr,dpreview X2D 100C 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
3260553927.3fr,3455756998.jpg,X2D 100C,XCD 38V,6400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-2016968818/3260553927.3fr,dpreview X2D 100C 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7873666735.3fr,7117150997.jpg,Hasselblad X1D,XCD 45,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7873666735.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
8334146208.3fr,4409202029.jpg,Hasselblad X1D,XCD 120,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/8334146208.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
2648677099.3fr,1836081861.jpg,Hasselblad X1D,XCD 120,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/2648677099.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0281972813.3fr,0592850406.jpg,Hasselblad X1D,XCD 45,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/0281972813.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
6880681261.3fr,1943280624.jpg,Hasselblad X1D,XCD 45,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/6880681261.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5540727519.3fr,3168873830.jpg,Hasselblad X1D,XCD 45,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5540727519.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7442520778.3fr,7592602729.jpg,Hasselblad X1D,XCD 45,3200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7442520778.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
3177190440.3fr,0126791254.jpg,Hasselblad X1D,XCD 45,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/3177190440.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9727274020.3fr,0719780370.jpg,Hasselblad X1D,XCD 120,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9727274020.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
6920359804.3fr,8877753037.jpg,Hasselblad X1D,unknown,1600,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/6920359804.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5075642105.3fr,0864895564.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5075642105.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9427558847.3fr,4541223792.jpg,Hasselblad X1D,unknown,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9427558847.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0991193864.3fr,7265253303.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/0991193864.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5112663122.3fr,6605485118.jpg,Hasselblad X1D,unknown,3200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5112663122.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5242442283.3fr,1865545322.jpg,Hasselblad X1D,unknown,3200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5242442283.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0347363027.3fr,9521521891.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/0347363027.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9346683373.3fr,4231650099.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9346683373.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5929809249.3fr,0469634640.jpg,Hasselblad X1D,unknown,1600,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5929809249.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
1699770854.3fr,6856857236.jpg,Hasselblad X1D,unknown,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/1699770854.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
1180335546.3fr,7770585966.jpg,Hasselblad X1D,unknown,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/1180335546.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7996715788.3fr,1047629792.jpg,Hasselblad X1D,unknown,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7996715788.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9847365580.3fr,0564523484.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9847365580.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
3743832703.3fr,7293897959.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/3743832703.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
2608594022.3fr,2409777103.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/2608594022.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
2950775108.3fr,9658349692.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/2950775108.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9168120676.3fr,4827768582.jpg,Hasselblad X1D,unknown,1600,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9168120676.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0791674213.3fr,7305817929.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/0791674213.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
4610580413.3fr,1631180832.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/4610580413.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
8331603657.3fr,5878899318.jpg,Hasselblad X1D,unknown,400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/8331603657.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0193698874.3fr,4753261838.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/0193698874.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9019804418.3fr,9999613811.jpg,Hasselblad X1D,unknown,6400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9019804418.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
6321873989.3fr,3361748634.jpg,Hasselblad X1D,unknown,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/6321873989.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
1773505604.3fr,4908480694.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/1773505604.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
3714290910.3fr,4672761280.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/3714290910.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
2716295533.3fr,0979228186.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/2716295533.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5299164137.3fr,1395138718.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5299164137.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
8359103860.3fr,9628258822.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/8359103860.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
6615407250.3fr,9437508570.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/6615407250.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
4948360642.3fr,1766215320.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/4948360642.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7854910687.3fr,4301207604.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7854910687.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5507068905.3fr,6743879841.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5507068905.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
8832903085.3fr,5540919867.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/8832903085.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
1249097372.3fr,7558661809.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/1249097372.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
5962139342.3fr,8206608899.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/5962139342.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
9865636545.3fr,5695559483.jpg,Hasselblad X1D,unknown,6400,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/9865636545.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
3062263663.3fr,5218452371.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/3062263663.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7017428248.3fr,1000336344.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7017428248.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7762862196.3fr,4140846582.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7762862196.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
8713165054.3fr,6612725294.jpg,Hasselblad X1D,unknown,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/8713165054.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
4303608461.3fr,7357447886.jpg,Hasselblad X1D,unknown,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/4303608461.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
7691682352.3fr,7017855353.jpg,Hasselblad X1D,XCD 45,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4234210046/7691682352.3fr,dpreview X1D 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
0970256922.3fr,9883106755.jpg,X2D II 100C,XCD 35-100E@100,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4239298554/0970256922.3fr,dpreview X2D 100C 샘플 갤러리 (local-mixed-2026-07 소실분 복구)
