filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
1616382360.3fr,0943709625.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/1616382360.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
9127812877.3fr,7395258973.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/9127812877.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
2780620919.3fr,4341242378.jpg,Hasselblad X1D,XCD 80mm F1.9,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/2780620919.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
0503444516.3fr,0744310812.jpg,Hasselblad X1D,XCD 80mm F1.9,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/0503444516.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
8958955856.3fr,2625716407.jpg,Hasselblad X1D,XCD 80mm F1.9,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/8958955856.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
9650075746.3fr,1790671336.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/9650075746.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
7503746523.3fr,7563606636.jpg,Hasselblad X1D,XCD 80mm F1.9,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/7503746523.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
7655328466.3fr,8846404269.jpg,Hasselblad X1D,XCD 80mm F1.9,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/7655328466.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
5300305793.3fr,4302903112.jpg,Hasselblad X1D,XCD 80mm F1.9,200,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/5300305793.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
2377646010.3fr,0596687741.jpg,Hasselblad X1D,XCD 80mm F1.9,800,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/2377646010.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
3091139573.3fr,5384117136.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/3091139573.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
7340428784.3fr,2568720871.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/7340428784.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
7134009062.3fr,3314463867.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/7134009062.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
9968562357.3fr,3427714559.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/9968562357.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
9739975557.3fr,8216764314.jpg,Hasselblad X1D,XCD 80mm F1.9,100,,,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-4619750949/9739975557.3fr,dpreview XCD 렌즈 샘플 갤러리 (XCD 80mm F1.9)
