camera,lens,photographer,jpeg_url,raw_url,page_url,exif_datetime_original,exif_camera_model,exif_lens,exif_iso,exif_focal_length,exif_pair_verified
X1D II 50C,XCD 4/21,,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-02.jpg,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-02.fff,https://www.hasselblad.com/learn/sample-images/x-system/,2019-05-31T14:59:00,Hasselblad X1DM2-50c,XCD 21,100,21.0 mm,OK
X1D II 50C,XCD 4/21,,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-09.jpg,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-09.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2019:06:11 08:16:46,X1D II 50C,XCD 21,100,21.0 mm,OK
X1D-50C,XCD 4/21,Haitong Yu,https://cdn.hasselblad.com/samples/B0000994.jpg,https://cdn.hasselblad.com/samples/B0000994.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2018:02:26 18:30:09,Hasselblad X1D,XCD 21,100,21.0 mm,OK
X1D II 50C,XCD 4/21,Haitong Yu,https://cdn.hasselblad.com/samples/B0001395.jpg,https://cdn.hasselblad.com/samples/B0001395.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2018:04:25 19:23:11,Hasselblad X1D,XCD 21,100,21.0 mm,OK
X1D-50C,"XCD 3,5/45",Hengki Koentjoro,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-01.jpg,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-01.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2018:03:08 12:27:33,Hasselblad X1D,XCD 45,400,45.0 mm,OK
X1D-50C,"XCD 3,5/45",Hengki Koentjoro,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-03.jpg,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-03.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2018:04:09 19:23:29,Hasselblad X1D,XCD 45,400,45.0 mm,OK
X1D-50C,"XCD 3,5/45",Hengki Koentjoro,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-04.jpg,http://cdn.hasselblad.com/samples/xcd-lenses/x1d-xcd45-04.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2018:04:09 19:55:50,Hasselblad X1D,XCD 45,800,45.0 mm,OK
X1D II 50C,XCD 4/45P,,https://cdn.hasselblad.com/samples/xcd-lenses/x1d-ii-xcd45p-01.jpg,https://cdn.hasselblad.com/samples/xcd-lenses/x1d-ii-xcd45p-01.fff,https://www.hasselblad.com/learn/sample-images/x-system/,2019-10-18T15:52:02,Hasselblad X1D II 50C,XCD 45,400,45.0 mm,OK
X1D II 50C,XCD 4/45P,,https://cdn.hasselblad.com/samples/xcd-lenses/x1d-ii-xcd45p-02.jpg,https://cdn.hasselblad.com/samples/xcd-lenses/x1d-ii-xcd45p-02.fff,https://www.hasselblad.com/learn/sample-images/x-system/,2019-10-18T16:25:03,Hasselblad X1D II 50C,XCD 45,100,45.0 mm,OK
X1D II 50C,"XCD 2,8/65",,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-01.jpg,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-01.fff,https://www.hasselblad.com/learn/sample-images/x-system/,2019-05-30T14:27:34,Hasselblad X1DM2-50c,XCD 65,200,65.0 mm,OK
X1D II 50C,"XCD 1,9/80",,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-06.jpg,https://cdn.hasselblad.com/samples/x1d-II-50c/x1d-II-sample-06.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2019:06:04 08:00:46,X1D II 50C,XCD 80,100,80.0 mm,OK
X1D II 50C,"HC 2,2/100 (1,8/80)",,https://cdn.hasselblad.com/f/77891/8272x6200/2a5f0c25ad/02709.jpg,https://cdn.hasselblad.com/f/77891/x/f3c22318d0/02709.fff,https://www.hasselblad.com/learn/sample-images/x-system/,2020-11-06T16:35:15,Hasselblad X1D II 50C,HC 100,100,80.0 mm,OK
X1D II 50C,"HC 2,2/100 (1,8/80)",,https://cdn.hasselblad.com/f/77891/6200x8272/2f3ad39071/00378.jpg,https://cdn.hasselblad.com/f/77891/x/d1ce5d1695/00378.3FR,https://www.hasselblad.com/learn/sample-images/x-system/,2020-10-19T10:39:19,Hasselblad X1D II 50C,HC 100,100,80.0 mm,OK
