system,section,camera,lens,photographer,hdr_sdr,filename,jpeg_url,raw_url,source
X,X2D II 100C (HDR),X2D II 100C,"XCD 2,8-4/35-100E",Zhenglin Li,HDR,b_6612.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/25bf6d841c/b_6612.jpg,,hasselblad.com (공식)
X,X2D II 100C (HDR),X2D II 100C,"XCD 2,5/55V",Jiang Chen,HDR,b_0494.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/5e7130d236/b_0494.jpg,,hasselblad.com (공식)
X,X2D II 100C (HDR),X2D II 100C,"XCD 2,8-4/35-100E",Jiyuan Wang,HDR,b_32985.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/b06b61a912/b_32985.jpg,,hasselblad.com (공식)
X,X2D II 100C (HDR),X2D II 100C,"XCD 3,2-4,5/20-35E",Jiyuan Wang,HDR,b_29667.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/00714e9fb0/b_29667.jpg,,hasselblad.com (공식)
X,X2D II 100C (HDR),X2D II 100C,"XCD 2,8-4/35-100E",Zhenglin Li,HDR,b_5835.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/f045dfdf11/b_5835.jpg,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 3,2-4,5/20-35E",Mark McGee,SDR,x-system_01_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/540d161aa7/x-system_01_download.jpg,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/25V",Albrecht Voss,SDR,x-system_02_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/0b7db9801e/x-system_02_download.jpg,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/55V",JUNSONG HE,SDR,x-system_03_download.JPG,https://cdn.hasselblad.com/f/77891/11656x8742/6701fc6361/x-system_03_download.JPG,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/90V",JUNSONG HE,SDR,x-system_04_download.JPG,https://cdn.hasselblad.com/f/77891/8742x11656/e610fdd518/x-system_04_download.JPG,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/38V",Zhenglin Li,SDR,x-system_05_download.jpg,https://cdn.hasselblad.com/f/77891/11347x8510/7d8819690b/x-system_05_download.jpg,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/38V",Zhenglin Li,SDR,x-system_06_download.jpg,https://cdn.hasselblad.com/f/77891/4000x3000/a7d8a52051/x-system_06_download.jpg,,hasselblad.com (공식)
X,X2D II 100C (SDR),X2D II 100C,"XCD 2,5/38V",EMANUELE DI MARE,SDR,x-system_07_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/d785409541/x-system_07_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",BENJAMIN EVERETT,SDR,x-system_01_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/3d7d8d61f8/x-system_01_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",BENJAMIN EVERETT,SDR,x-system_02_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/237f663ffc/x-system_02_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",HANG YU,SDR,x-system_03_download.JPG,https://cdn.hasselblad.com/f/77891/11656x8742/bfdab64d77/x-system_03_download.JPG,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",MARK MCGEE,SDR,x-system_04_download.jpg,https://cdn.hasselblad.com/f/77891/8767x8742/6e0ec7b129/x-system_04_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",ZHENGLIN LI,SDR,x-system_05_download.jpg,https://cdn.hasselblad.com/f/77891/4000x3000/67ab72bbe4/x-system_05_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",JUNSONG HE,SDR,x-system_06_download.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/eb0d1bec11/x-system_06_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",EMANUELE DI MARE,SDR,x-system_07_download.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/2d12831860/x-system_07_download.jpg,,hasselblad.com (공식)
X,"XCD 2,8-4/35-100E",X2D II 100C,"XCD 2,8-4/35-100E",EMANUELE DI MARE,SDR,x-system_08_.jpg,https://cdn.hasselblad.com/f/77891/11388x8541/c3a5253912/x-system_08_.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Emanuele Di Mare,SDR,emanuele-di-mare-x2d-xcd75p-1.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/fb024325be/emanuele-di-mare-x2d-xcd75p-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Irene Rudnyk,SDR,irene-rudnyk-x2d-xcd-75p-1.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/af21268162/irene-rudnyk-x2d-xcd-75p-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Irene Rudnyk,SDR,irene-rudnyk-x2d-xcd-75p-4.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/1592521ca8/irene-rudnyk-x2d-xcd-75p-4.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Ray Cheung,SDR,ray-cheung-x2d-xcd75p-1.jpg,https://cdn.hasselblad.com/f/77891/8348x11131/88d0837513/ray-cheung-x2d-xcd75p-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Mark McGee,SDR,mark-mcgee-x2d-xcd75p-6.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/6239093bd9/mark-mcgee-x2d-xcd75p-6.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Jiaze Wang,SDR,jiaze-wang-x2d-xcd75p-1.JPG,https://cdn.hasselblad.com/f/77891/8742x11656/81eed378c1/jiaze-wang-x2d-xcd75p-1.JPG,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Qianli Zhang,SDR,qianli-zhang-x2d-xcd75p-3.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/704c12bd3a/qianli-zhang-x2d-xcd75p-3.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Qianli Zhang,SDR,qianli-zhang-x2d-xcd75p-4.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/1d20e2a96f/qianli-zhang-x2d-xcd75p-4.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,4/75P",X2D 100C,"XCD 3,4/75P",Qianli Zhang,SDR,qianli-zhang-x2d-xcd75p-5.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/b8cf37c567/qianli-zhang-x2d-xcd75p-5.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Albrecht Voss,SDR,albrecht-voss-x2d-xcd20-35e-1.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/bb8fac6fcb/albrecht-voss-x2d-xcd20-35e-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Gavin Hardcastle,SDR,gavin-hardcastle-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/9a6eae2216/gavin-hardcastle-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Weimin Chu,SDR,weimin-chu-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/5f56d30d2a/weimin-chu-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Martin Rak,SDR,martin-rak-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/42c8bd0fa5/martin-rak-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Emanuele Di Mare,SDR,emanuele-di-mare-x2d-xcd20-35e-1.jpg,https://cdn.hasselblad.com/f/77891/8605x11473/5d97339964/emanuele-di-mare-x2d-xcd20-35e-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Emanuele Di Mare,SDR,emanuele-di-mare-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/8616x11488/8cc1d0f430/emanuele-di-mare-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Mark McGee,SDR,mark-mcgee-x2d-xcd20-35e-1.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/46032c5082/mark-mcgee-x2d-xcd20-35e-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Jiaze Wang,SDR,jiazhe-wang-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/8742x11656/7b34e41648/jiazhe-wang-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Gavin Hardcastle,SDR,gavin-hardcastle-x2d-xcd20-35e-1.jpg,https://cdn.hasselblad.com/f/77891/11637x8717/027f2bf7f8/gavin-hardcastle-x2d-xcd20-35e-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Weimin Chu,SDR,weimin-chu-x2d-xcd20-35e-1.jpg,https://cdn.hasselblad.com/f/77891/9130x6848/ce3a3f661d/weimin-chu-x2d-xcd20-35e-1.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Albrecht Voss,SDR,albrecht-voss-x2d-xcd20-35e-2.jpg,https://cdn.hasselblad.com/f/77891/11656x8742/b6eb31b19c/albrecht-voss-x2d-xcd20-35e-2.jpg,,hasselblad.com (공식)
X,"X2D 100C + XCD 3,2-4,5/20-35E",X2D 100C,"XCD 3,2-4,5/20-35E",Emanuele Di Mare,SDR,emanuele-di-mare-x2d-xcd20-35e-3.jpg,https://cdn.hasselblad.com/f/77891/10205x7654/a7f03b6476/emanuele-di-mare-x2d-xcd20-35e-3.jpg,,hasselblad.com (공식)
