filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
1633761829.dng,9421527528.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/1633761829.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
1592318743.dng,6551377112.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/1592318743.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
1866884009.dng,5563487408.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/1866884009.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
0898680087.dng,0350247942.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/0898680087.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
8094119849.dng,1998962343.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/8094119849.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
8711424676.dng,3193378217.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/8711424676.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
5213562272.dng,8266841942.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/5213562272.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
5085414487.dng,5471124147.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/5085414487.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
3544389594.dng,0161519593.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/3544389594.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
4426621972.dng,6675880124.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/4426621972.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
3067995653.dng,0335425931.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/3067995653.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
3028450257.dng,2532884069.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/3028450257.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
2941721302.dng,1657666052.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/2941721302.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
2423999171.dng,5022245124.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/2423999171.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
4842734642.dng,3784369040.jpg,LEICA SL3-P,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7555681376/4842734642.dng,dpreview Leica SL3-P sample gallery (L-7555681376)
