filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
3772178637.dng,6087177862.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-01 23:31:43, jpeg DateTimeOriginal=2017-01-01 23:31:43"
7421782419.dng,1609023814.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-01 23:36:42, jpeg DateTimeOriginal=2017-01-01 23:36:42"
2898171072.dng,9816076194.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-01 23:39:13, jpeg DateTimeOriginal=2017-01-01 23:39:13"
3817970586.dng,2057804052.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-01 23:42:57, jpeg DateTimeOriginal=2017-01-01 23:42:57"
8295149910.dng,3951800150.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-02 00:12:10, jpeg DateTimeOriginal=2017-01-02 00:12:10"
6481936014.dng,1126891751.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-02 00:14:10, jpeg DateTimeOriginal=2017-01-02 00:14:10"
4247205627.dng,5960061626.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-02 00:15:32, jpeg DateTimeOriginal=2017-01-02 00:15:32"
6172457280.dng,0562329850.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-02 07:28:03, jpeg DateTimeOriginal=2017-01-02 07:28:03"
8454505668.dng,6529967391.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-02 08:38:21, jpeg DateTimeOriginal=2017-01-02 08:38:21"
1553664751.dng,9087225949.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-05 17:54:40, jpeg DateTimeOriginal=2017-01-05 17:54:40"
4034598754.dng,7517859140.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-05 18:50:46, jpeg DateTimeOriginal=2017-01-05 18:50:46"
0552999154.dng,3643153227.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-05 21:01:33, jpeg DateTimeOriginal=2017-01-05 21:01:33"
2611986980.dng,2524430186.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-06 13:57:24, jpeg DateTimeOriginal=2017-01-06 13:57:24"
0740494755.dng,1489088333.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-07 23:58:46, jpeg DateTimeOriginal=2017-01-07 23:58:46"
4566205139.dng,4994548593.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-07 23:59:51, jpeg DateTimeOriginal=2017-01-07 23:59:51"
5639598652.dng,0412232904.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-08 23:28:36, jpeg DateTimeOriginal=2017-01-08 23:28:36"
0831524992.dng,3990955030.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-09 00:19:31, jpeg DateTimeOriginal=2017-01-09 00:19:31"
9855325432.dng,8761633168.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-09 00:30:51, jpeg DateTimeOriginal=2017-01-09 00:30:51"
4482200645.dng,7026769115.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-09 00:39:29, jpeg DateTimeOriginal=2017-01-09 00:39:29"
7066172868.dng,2030993812.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-09 23:54:13, jpeg DateTimeOriginal=2017-01-09 23:54:13"
3671371099.dng,3311043035.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-10 22:15:36, jpeg DateTimeOriginal=2017-01-10 22:15:36"
