raw_file,jpeg_file,model
0141883041.dng,8588281141.jpg,LEICA Q3 43
0531429776.dng,1086963535.jpg,LEICA Q3 43
0577021822.dng,7879163030.jpg,LEICA Q3 43
1054374433.dng,1765656822.jpg,LEICA Q3 43
1366626130.dng,7023208895.jpg,LEICA Q3 43
2011037535.dng,2446262734.jpg,LEICA Q3 43
2196361046.dng,6985453004.jpg,LEICA Q3 43
2309027549.dng,7356188842.jpg,LEICA Q3 43
2357991933.dng,0128771987.jpg,LEICA Q3 43
2371749194.dng,5077388214.jpg,LEICA Q3 43
3166946596.dng,7381411274.jpg,LEICA Q3 43
3266389966.dng,4777343316.jpg,LEICA Q3 43
3415129459.dng,3012818828.jpg,LEICA Q3 43
3441777899.dng,9535420257.jpg,LEICA Q3 43
3512516339.dng,8819250230.jpg,LEICA Q3 43
3890706363.dng,9049684329.jpg,LEICA Q3 43
3920316250.dng,8937502602.jpg,LEICA Q3 43
4030894411.dng,6461651047.jpg,LEICA Q3 43
4134582906.dng,0980785154.jpg,LEICA Q3 43
4293656313.dng,0174684363.jpg,LEICA Q3 43
4523799076.dng,3728918560.jpg,LEICA Q3 43
4672951914.dng,0392076189.jpg,LEICA Q3 43
4772001487.dng,5060772587.jpg,LEICA Q3 43
4907809750.dng,8157831199.jpg,LEICA Q3 43
5234659255.dng,5169003925.jpg,LEICA Q3 43
5609618134.dng,9305107344.jpg,LEICA Q3 43
5836748560.dng,7963606443.jpg,LEICA Q3 43
6014842139.dng,7513859920.jpg,LEICA Q3 43
6121996014.dng,4670648667.jpg,LEICA Q3 43
6349183287.dng,0764597722.jpg,LEICA Q3 43
6673859875.dng,4245270090.jpg,LEICA Q3 43
6968750839.dng,0959881808.jpg,LEICA Q3 43
7257638917.dng,3157189996.jpg,LEICA Q3 43
7356796714.dng,6265753945.jpg,LEICA Q3 43
7475505793.dng,9546656065.jpg,LEICA Q3 43
8040566508.dng,2700926280.jpg,LEICA Q3 43
8052332772.dng,2559652802.jpg,LEICA Q3 43
8366739888.dng,9712359333.jpg,LEICA Q3 43
8853093127.dng,1967823640.jpg,LEICA Q3 43
9396165448.dng,3455476488.jpg,LEICA Q3 43
9489879042.dng,6238001049.jpg,LEICA Q3 43
9493726931.dng,9410909426.jpg,LEICA Q3 43
9562086278.dng,3003063935.jpg,LEICA Q3 43
9938070972.dng,4115247343.jpg,LEICA Q3 43
