raw_file,jpeg_file,model
5336809946.nef,7475630750.jpg,NIKON Z 8
5953403750.nef,8421368683.jpg,NIKON Z 8
1658994793.nef,2862945437.jpg,NIKON Z 8
8505234811.nef,7189320279.jpg,NIKON Z 8
1624245183.nef,9961511509.jpg,NIKON Z 8
2675850062.nef,0307100956.jpg,NIKON Z 8
0858275728.nef,2397629681.jpg,NIKON Z 8
6592928784.nef,2608260612.jpg,NIKON Z 8
0213368669.nef,7047672959.jpg,NIKON Z 8
5059964814.nef,9720533601.jpg,NIKON Z 8
9608927276.nef,8144991813.jpg,NIKON Z 8
6835975444.nef,1194544558.jpg,NIKON Z 8
6409480576.nef,1274435788.jpg,NIKON Z 8
6221472240.nef,6108435805.jpg,NIKON Z 8
8493964792.nef,3749079238.jpg,NIKON Z 8
9816116510.nef,4939109836.jpg,NIKON Z 8
4062593397.nef,0432383222.jpg,NIKON Z 8
8346908309.nef,4642412213.jpg,NIKON Z 8
1218123684.nef,4697661018.jpg,NIKON Z 8
3515145946.nef,2251106972.jpg,NIKON Z 8
6089742926.nef,4276504155.jpg,NIKON Z 8
2733850317.nef,2107879944.jpg,NIKON Z 8
4218121266.nef,8125947072.jpg,NIKON Z 8
3137852867.nef,0037563146.jpg,NIKON Z 8
5397842006.nef,0890526917.jpg,NIKON Z 8
3285140383.nef,0918394053.jpg,NIKON Z 8
1923463843.nef,0333630670.jpg,NIKON Z 8
2075148236.nef,7517325089.jpg,NIKON Z 8
8104966472.nef,8047380471.jpg,NIKON Z 8
4437084574.nef,4583826452.jpg,NIKON Z 8
1804908869.nef,9317039149.jpg,NIKON Z 8
7419438004.nef,3953986946.jpg,NIKON Z 8
0333751884.nef,9805610804.jpg,NIKON Z 8
0899403784.nef,9372103526.jpg,NIKON Z 8
1562928683.nef,0949940310.jpg,NIKON Z 8
7971165149.nef,9365211112.jpg,NIKON Z 8
1954226071.nef,1323233408.jpg,NIKON Z 8
5990255288.nef,0478211067.jpg,NIKON Z 8
6068713062.nef,7977517564.jpg,NIKON Z 8
7064791283.nef,5185147953.jpg,NIKON Z 8
8553979861.nef,7464750022.jpg,NIKON Z 8
5720336696.nef,8182676133.jpg,NIKON Z 8
