raw_file,jpeg_file,model
7021580800.dng,8301801760.jpg,Sigma BF
3556845211.dng,5827397480.jpg,Sigma BF
0424949814.dng,2719522446.jpg,Sigma BF
7685047730.dng,0834623586.jpg,Sigma BF
1280213837.dng,4380941908.jpg,Sigma BF
5188079719.dng,6074436264.jpg,Sigma BF
4775473107.dng,8541285498.jpg,Sigma BF
1381592919.dng,4065320475.jpg,Sigma BF
1280552934.dng,6342369305.jpg,Sigma BF
8041505093.dng,0467627808.jpg,Sigma BF
0833111245.dng,3742436231.jpg,Sigma BF
3475579446.dng,7141232241.jpg,Sigma BF
5925994358.dng,8653700826.jpg,Sigma BF
9855448132.dng,4515137368.jpg,Sigma BF
8768997300.dng,9533433733.jpg,Sigma BF
6419863471.dng,2374861834.jpg,Sigma BF
0382809266.dng,7434747282.jpg,Sigma BF
9368320411.dng,9849361604.jpg,Sigma BF
5596691546.dng,3827339379.jpg,Sigma BF
4238673021.dng,8742462568.jpg,Sigma BF
9733566765.dng,8925362357.jpg,Sigma BF
1386062139.dng,5777946354.jpg,Sigma BF
7571453567.dng,1749243289.jpg,Sigma BF
1139958334.dng,1769354921.jpg,Sigma BF
7435112801.dng,0384391509.jpg,Sigma BF
0258896759.dng,6072673957.jpg,Sigma BF
1168485739.dng,2135315340.jpg,Sigma BF
3978454094.dng,3412511950.jpg,Sigma BF
6524759739.dng,1687030300.jpg,Sigma BF
0463518726.dng,2556189624.jpg,Sigma BF
1369430825.dng,2419561326.jpg,Sigma BF
6671961276.dng,1781859010.jpg,Sigma BF
1110263176.dng,7935514466.jpg,Sigma BF
5370252560.dng,9345917589.jpg,Sigma BF
2714156037.dng,2380715143.jpg,Sigma BF
4981074255.dng,4138115018.jpg,Sigma BF
7944322265.dng,8925830857.jpg,Sigma BF
9637359244.dng,2660957862.jpg,Sigma BF
0059400976.dng,9026274364.jpg,Sigma BF
7624607528.dng,9992092058.jpg,Sigma BF
9270111281.dng,8215371469.jpg,Sigma BF
8457825108.dng,5121697105.jpg,Sigma BF
4928069513.dng,0231214284.jpg,Sigma BF
9885894072.dng,2199891453.jpg,Sigma BF
4516784837.dng,4705103208.jpg,Sigma BF
8741104184.dng,9684022675.jpg,Sigma BF
0119623001.dng,9243641821.jpg,Sigma BF
7377104339.dng,3170881295.jpg,Sigma BF
5337652923.dng,9470704640.jpg,Sigma BF
2931964527.dng,9557440602.jpg,Sigma BF
0403107831.dng,3517656832.jpg,Sigma BF
