raw_file,jpeg_file,model
0227006412.arw,3694398514.jpg,ILCE-7M5
0229018997.arw,8675922040.jpg,ILCE-7M5
0257613106.arw,4113127844.jpg,ILCE-7M5
0400667819.arw,4407522751.jpg,ILCE-7M5
0419378974.arw,8311312289.jpg,ILCE-7M5
0556382380.arw,9864834879.jpg,ILCE-7M5
0657250405.arw,2131158919.jpg,ILCE-7M5
0664785471.arw,7716310783.jpg,ILCE-7M5
0695689589.arw,2605927967.jpg,ILCE-7M5
0947860690.arw,8197725648.jpg,ILCE-7M5
0988055692.arw,2169315142.jpg,ILCE-7M5
1098597410.arw,9581033774.jpg,ILCE-7M5
1103599611.arw,1927564739.jpg,ILCE-7M5
1280095759.arw,4226861296.jpg,ILCE-7M5
1379885252.arw,7912044509.jpg,ILCE-7M5
1601945613.arw,1633716525.jpg,ILCE-7M5
1959333264.arw,1298866972.jpg,ILCE-7M5
2048833204.arw,0338010089.jpg,ILCE-7M5
2353681654.arw,9338981535.jpg,ILCE-7M5
2659103946.arw,5135141737.jpg,ILCE-7M5
2787995420.arw,5713421733.jpg,ILCE-7M5
2820934527.arw,4287716713.jpg,ILCE-7M5
3050820243.arw,4164212959.jpg,ILCE-7M5
3069253897.arw,1612120646.jpg,ILCE-7M5
3098681404.arw,3043657256.jpg,ILCE-7M5
3161927315.arw,5051440876.jpg,ILCE-7M5
3261784305.arw,0313424523.jpg,ILCE-7M5
3277978852.arw,1104896983.jpg,ILCE-7M5
3560181386.arw,1755824507.jpg,ILCE-7M5
3584371790.arw,7076629421.jpg,ILCE-7M5
3766706021.arw,0298635486.jpg,ILCE-7M5
3855292856.arw,6727029298.jpg,ILCE-7M5
4194479392.arw,1083047232.jpg,ILCE-7M5
4284005623.arw,0435977332.jpg,ILCE-7M5
4368784718.arw,6178193173.jpg,ILCE-7M5
4407595805.arw,1351623564.jpg,ILCE-7M5
4737265560.arw,2209691869.jpg,ILCE-7M5
4809763525.arw,1768329748.jpg,ILCE-7M5
4995472681.arw,0526284904.jpg,ILCE-7M5
5110324809.arw,1098385348.jpg,ILCE-7M5
5121966619.arw,2824253951.jpg,ILCE-7M5
5197037029.arw,0084658316.jpg,ILCE-7M5
5421006922.arw,4348100964.jpg,ILCE-7M5
5507051371.arw,2572852025.jpg,ILCE-7M5
5527592691.arw,7118196379.jpg,ILCE-7M5
5664792785.arw,4183752882.jpg,ILCE-7M5
5676846937.arw,1132568159.jpg,ILCE-7M5
5777113580.arw,3949958055.jpg,ILCE-7M5
5877301303.arw,8917007687.jpg,ILCE-7M5
6364402986.arw,5998318908.jpg,ILCE-7M5
6368631640.arw,2131422127.jpg,ILCE-7M5
6792404367.arw,7262043413.jpg,ILCE-7M5
6832315059.arw,9528045763.jpg,ILCE-7M5
7043274231.arw,7186643089.jpg,ILCE-7M5
7043320854.arw,6504448120.jpg,ILCE-7M5
7056815545.arw,3510414867.jpg,ILCE-7M5
7182185084.arw,7876742885.jpg,ILCE-7M5
7279059521.arw,5885116814.jpg,ILCE-7M5
7357354945.arw,1075539549.jpg,ILCE-7M5
7357395961.arw,8188278387.jpg,ILCE-7M5
7849945770.arw,7178506759.jpg,ILCE-7M5
7910164297.arw,2331726844.jpg,ILCE-7M5
7915611586.arw,3564197960.jpg,ILCE-7M5
8015197858.arw,7146845128.jpg,ILCE-7M5
8040386541.arw,4604920243.jpg,ILCE-7M5
8048712568.arw,0123739291.jpg,ILCE-7M5
8072964882.arw,1516538686.jpg,ILCE-7M5
8105093336.arw,1610356928.jpg,ILCE-7M5
8172817143.arw,9709699942.jpg,ILCE-7M5
8364954388.arw,7980053214.jpg,ILCE-7M5
8499281842.arw,7702342857.jpg,ILCE-7M5
8626562729.arw,9511465643.jpg,ILCE-7M5
8691198572.arw,7807654184.jpg,ILCE-7M5
8899643277.arw,9195592901.jpg,ILCE-7M5
9285879496.arw,6424366071.jpg,ILCE-7M5
