filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
8691198572.arw,7807654184.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/8691198572.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
7849945770.arw,7178506759.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/7849945770.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
5676846937.arw,1132568159.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/5676846937.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
8172817143.arw,9709699942.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/8172817143.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
5664792785.arw,4183752882.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/5664792785.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
2659103946.arw,5135141737.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/2659103946.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
2787995420.arw,5713421733.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/2787995420.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
6792404367.arw,7262043413.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/6792404367.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
9285879496.arw,6424366071.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/9285879496.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
0988055692.arw,2169315142.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/0988055692.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
3050820243.arw,4164212959.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/3050820243.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
0227006412.arw,3694398514.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/0227006412.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
3098681404.arw,3043657256.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/3098681404.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
1379885252.arw,7912044509.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/1379885252.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
3161927315.arw,5051440876.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/3161927315.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
1620263313.arw,0005921677.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/1620263313.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
8105093336.arw,1610356928.jpg,ILCE-7M5,,,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-0881387793/8105093336.arw,dpreview Sony a7 V pre-production sample gallery (L-0881387793)
