filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
4457828367.arw,9266351242.jpg,ILCE-7CR,FE 20-70mm F4 G,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 12:52:42, jpeg DateTimeOriginal=2023-08-12 12:52:42"
5874547069.arw,1975692756.jpg,ILCE-7CR,FE 20-70mm F4 G,160,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 13:06:20, jpeg DateTimeOriginal=2023-08-12 13:06:20"
4047489158.arw,1775312428.jpg,ILCE-7CR,FE 20-70mm F4 G,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 13:31:38, jpeg DateTimeOriginal=2023-08-12 13:31:38"
1142548973.arw,9170783936.jpg,ILCE-7CR,FE 20-70mm F4 G,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 13:35:08, jpeg DateTimeOriginal=2023-08-12 13:35:08"
9977853500.arw,0274398688.jpg,ILCE-7CR,FE 20-70mm F4 G,160,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 15:35:10, jpeg DateTimeOriginal=2023-08-12 15:35:10"
7101586247.arw,6672557553.jpg,ILCE-7CR,FE 20-70mm F4 G,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 15:44:21, jpeg DateTimeOriginal=2023-08-12 15:44:21"
8023386582.arw,8517001121.jpg,ILCE-7CR,FE 20-70mm F4 G,320,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 16:57:10, jpeg DateTimeOriginal=2023-08-12 16:57:10"
2002631180.arw,0053339045.jpg,ILCE-7CR,FE 20-70mm F4 G,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 17:21:23, jpeg DateTimeOriginal=2023-08-12 17:21:23"
0716308739.arw,9827395286.jpg,ILCE-7CR,FE 20-70mm F4 G,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 17:26:50, jpeg DateTimeOriginal=2023-08-12 17:26:50"
3800523217.arw,8939361777.jpg,ILCE-7CR,FE 20-70mm F4 G,160,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-12 17:36:34, jpeg DateTimeOriginal=2023-08-12 17:36:34"
