camera,gallery_url,raw_drive_url,jpeg_drive_url
Fujifilm X-T3,https://mirrorlesscomparison.com/galleries/fuji-xt3-sample-images/,https://drive.google.com/open?id=1oFohSm0remvBrdiFEiJa8vWjp1a2ilmc,https://drive.google.com/open?id=1sMpOyOpg4IzymPM7hEn6yU-BvdC6ViCu
Fujifilm X-T2,https://mirrorlesscomparison.com/galleries/fuji-xt2-sample-images/,https://drive.google.com/open?id=1OY4OsUw3qzSsGQRSsUQM_c9yG9l7D3XY,https://drive.google.com/file/d/1V3TfGycjHzI41VH7ehZNahfa0_ovbI2g/view?usp=sharing
Fujifilm X-T30,https://mirrorlesscomparison.com/galleries/fuji-xt30-sample-images/,https://drive.google.com/open?id=1flSseFnICjMqF4e8R6jj3wEfLlO6sytr,https://drive.google.com/open?id=1MOaxGpkm4Z974Pq5KTsty32BJu2vt28J
Fujifilm X-T1,https://mirrorlesscomparison.com/galleries/fujifilm-xt1-sample-images/,https://drive.google.com/open?id=18ZhU_DXOT--FIC3rJKF5LQh-LkBhIJgq,https://drive.google.com/open?id=1sw1WbNAjrT0QdRUyA1ZVQm_5aWxhSCyD
Fujifilm X30,https://mirrorlesscomparison.com/galleries/fujifilm-x30-sample-photos/,https://drive.google.com/open?id=1aFY8wAHwDn9WZxAP6jrKiIp9e4lyYgH-,https://drive.google.com/open?id=1O4IzX8x2E9vfy9Zm4tSRNYAmz7saGcj4
Fujifilm X-A2,https://mirrorlesscomparison.com/galleries/fuji-xa2-sample-images/,https://drive.google.com/open?id=1H99mwHua3fz2RpZwzGfIg-9FV8fLayhF,https://drive.google.com/open?id=1MV72vaRWqUyPOh3uU9QZ6GNd2fUkJl0l
Fujifilm X-H1,https://mirrorlesscomparison.com/galleries/fuji-xh1-sample-images/,https://drive.google.com/drive/folders/12FJflUIhVPr468yRf7-s2Mz_KE093QvY?usp=sharing,https://drive.google.com/drive/folders/15PWHv-BV0wWZEsbGrLN8-FBwsrsGb8f0?usp=sharing
Fujifilm X100T,https://mirrorlesscomparison.com/galleries/fuji-x100t-sample-photos-2/,https://drive.google.com/open?id=1I6oA8clZb5hAsmAFZUELclasuTj2R6Fn,https://drive.google.com/open?id=1IPFzIunqwNR5sgl2xHgnIq7NVIe2YPHf
Fujifilm X100S,https://mirrorlesscomparison.com/galleries/fujifilm-x100s-sample-pics/,https://drive.google.com/open?id=1fB5E9yc6wQQXFG8fux-i-K8tx05W4ars,https://drive.google.com/open?id=1O_3fk9KhCkTl0Wil7BSSQ1LBP8E3M9cN
Fujifilm X-Pro1,https://mirrorlesscomparison.com/galleries/fuji-x-pro1-sample-photos/,https://drive.google.com/open?id=190uWqGXJU3kteezmsZCAGau4tITMCjs8,https://drive.google.com/open?id=1MMDx8Syxk7jAFSs8lQEaYklUxd5NY3ad
