camera,raw_url,jpg_url,raw_name,jpg_name
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/4024978768.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/0531606551.jpg?original,4024978768.dng,0531606551.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/6069367571.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/4400857902.jpg?original,6069367571.dng,4400857902.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/5554044612.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/3299945950.jpg?original,5554044612.dng,3299945950.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/7694003938.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/2122054519.jpg?original,7694003938.dng,2122054519.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/5670754027.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/5528697672.jpg?original,5670754027.dng,5528697672.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/1024732252.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/3364558151.jpg?original,1024732252.dng,3364558151.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/7038494271.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/2586960386.jpg?original,7038494271.dng,2586960386.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/1859238164.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/4249075206.jpg?original,1859238164.dng,4249075206.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/3481157997.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/6751266968.jpg?original,3481157997.dng,6751266968.jpg
Ricoh GR IV,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/4768042258.dng,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-7050652860/9521909286.jpg?original,4768042258.dng,9521909286.jpg
